"","Or10a","Or19a","Or1a","Or22a","Or22b","Or23a","Or2a","Or30a","Or35a","Or42a","Or43a","Or43b","Or45b","Or46a","Or47a","Or49a","Or49b","Or59a","Or59b","Or67a","Or67b","Or67c","Or85a","Or85b","Or85f","Or94b","Or98a","Or9a"
"7732-18-5",NA,NA,"0.0248784137673026",NA,NA,NA,NA,"0.043483638464927",NA,"0.094108649510774",NA,NA,"0.0276698491091993",NA,NA,"0.0110945879639992",NA,NA,NA,NA,"0.140758665354012",NA,NA,NA,NA,"0.0403470975218544",NA,NA
"7664-41-7","0.0629663378662708",NA,NA,"0.101871260791492",NA,NA,NA,NA,"0.197410251661449",NA,NA,NA,NA,NA,NA,NA,"0.0322005512153559",NA,"0.012297795024459",NA,NA,"0.0682282397525446",NA,NA,NA,NA,"0.109110821014729",NA
"124-38-9","0.0584814064247244","0.0144926775755769","0.00710811821922934","0.062537864388874","0","0.0238891607865519","0","0.0212213274950267","0.0665740388799152","0.120137823664364","0.0475325161140334","0","0.0111628772030503",NA,"0.0550764356826695","0.012573098972623","0.0121467643955077","0.00510177297747959","0.075961113213363","0.0294609812075242","0.110730695252875","0.0406385883776514","0.0721154819496515","0.018157933869687","0","0.00359622631277022","0.0836875791016128","0"
"67-56-1","0.051135085051643","0.0834334712583434",NA,"0.117915863409096",NA,"0.0131559242321864","0.0521280442885516",NA,"0.238165313593411",NA,"0.0818459058078032","0.0851808634490707",NA,NA,"0.0694207151691474",NA,"0.0225350311863104",NA,"0.0612758731297281","0.0242090634348629",NA,"0.0549953772151064","0.0890615325096578","0.0688170955363463","0.0543338568602",NA,"0.044193911779454","0.160581892739015"
"64-18-6","0.128373605361133","0.120515014039829",NA,"0.0534851260661805",NA,"0.00219265403869773","0.0234646076855557",NA,"0.0854722564247997",NA,"0.0489298700708874","0.065911462990369",NA,NA,"0.0208343976924971",NA,"0.0156584252217073",NA,"0.0792810144456127","0.0279335347325341",NA,"0.0442022042213155","0.026637977271511","0.0559031550451685","0.0570725686700176",NA,"0.0424079042431748","0.123606991943924"
"75-07-0","0.112520365831202","0.173703878563769",NA,"0.166411479728604",NA,"0.0541396025484864","0.0831653910041998",NA,"0.0804278691107559",NA,"0.107820262132479","0.065911462990369",NA,NA,"0.234283354846248",NA,"0.0110877573973447",NA,"0.177685074437031","0.0409691842743834","0.224768731789097","0.0933950279632328","0.146154514559151","0.150058030160957","0.099652514849694",NA,"0.085796988213867","0.373620941693441"
"79-09-4","0.141037196858803","0.133906495415928","0.0142162364384586","0.10370175082215",NA,"0.0131559242321864","0.0215720265632677","0","0.0484623298780068","0.192599375403477","0.0675737730163322","0.0627331098920053","0.0281290231029671",NA,"0.0105741363557483","0.0217007632679106","0.0225350311863104","0.0382435046420468","0.0766973823096282","0.134716990663954","0.137068783375411","0.0522778080264539","0.0316325980099194","0.165379759115333","0.0776796972236547","0.0151577940351423","0.0633953316722598","0.143902278939502"
"64-17-5","0.074662969910231","0.092703856953715",NA,"0.117915863409096",NA,"0.032889810580466","0.0372729322899418",NA,"0.220969235698097",NA,"0.0574262897471307","0.0819425547689144",NA,NA,"0.046515973988203",NA,"0.0133717480616111",NA,"0.0485284821444029","0.0260712990836985","proposed","0.0632343819111768","0.0977163899771458","0.110449069425421","0.0426988915581288",NA,"0.0407115880734478","0.147255033507146"
"64-19-7","0.0928618042634933","0.128353395161638",NA,"0.0507071069392754",NA,"0.0175412323095819","0.0396691631831973",NA,"0.0626259747203115",NA,"0.0908378543176542","0.0722942589554324",NA,NA,"0.0269026303769799",NA,"0.0179478339259973",NA,"0.0766973823096282","0.00931117824417801","0.171310863018113","0.0362304473917501","0.047338072082406","0.110449069425421","0.067600742766162",NA,"0.0889972248626675","0.106457238458595"
"124-40-3",NA,NA,NA,NA,NA,NA,NA,NA,"0.204806142020436",NA,NA,NA,NA,NA,NA,NA,NA,NA,"proposed",NA,"proposed","proposed","proposed",NA,NA,NA,NA,NA
"554-12-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"proposed",NA,"proposed","proposed","proposed",NA,NA,NA,NA,NA
"107-02-8","0.0280219629819885","0.092703856953715",NA,"0.0507071069392754",NA,"0.00657796211609321","0.0627570383711263",NA,"0.0440930373278324",NA,"0.0574262897471307","0.0754998733704484",NA,NA,"0.0435107965772957",NA,"0.00880640915346818",NA,"0.0638366248562924","0.0609499128297215","proposed","0.0349109656793716","0.103357959991779","0.146182497363573","0.0426988915581288",NA,"0.098597934809071","0.0855880862791318"
"556-82-1","0.0299501775972299","0.292469925308808",NA,"0.260572608238898",NA,"0.133679314198315","0.139400584051145",NA,"0.689330218813048",NA,"0.200399502018511","0.227123132875849",NA,NA,"0.0994751856513178",NA,"0.0799492886041708",NA,"0.0818685005464915","0.680121169409001","proposed","0.181574265438609","0.0801285759453841","0.102290890893613","0.131914470686953",NA,"0.640008424300575","0.268638042229322"
"625-33-2","0",NA,NA,"0.344738901980889",NA,NA,"proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"proposed",NA,"0.473301893578799","proposed","proposed",NA,"proposed",NA,NA,NA
"75-18-3","0.0238929901822588","0.0579399105960717",NA,"0.0161165448393927",NA,"0.0109632701934887","0.0279659155706959",NA,"0.0603098494154031",NA,"0.0266890200386658","0.0754998733704484",NA,NA,"0.0188116534643362",NA,"0.00245407068376809",NA,"0.183166401682339","0.0204845921371916","proposed","0.0309670822393371","0.0283028508509805","0.130493985131157","0.0923772414585398",NA,"0.0169631616972699","0.140541056027997"
"123-38-6","0.0355230430255451","0",NA,"0.123177247448719",NA,"0.00877061615479094","0.0741001783940545",NA,"0.0200228844917049",NA,"0","0.0884313290548502",NA,NA,"0.0639321331809852",NA,"0.00419014603863195",NA,"0.0459901976937205","0.0279335347325341","0.177429501185382","0.0482261128189717","0.0919745730889759","0.206114504613045","0.0597623502007101",NA,"0.0633953316722598","0.0960624583706422"
"67-64-1","0.0333415308027679","0.0625751034437574",NA,"0.130798650615517",NA,"0.00438530807739547","0.0302531403829572",NA,"0.100446002229577","0.364448150993648","0.0333612750483323","0.0754998733704484",NA,NA,"0.0289253746051408",NA,"0.0204431766020016",NA,"0.359230289469865","0.0783595824876908","0.11533374001471","0.0332933051800073","0.0332974715893888","0.114497715308615","0.0850685801149021",NA,"0.0856592375388998","0.173775347823654"
"141-43-5","0.0356384659155895",NA,NA,"0.133375934351891",NA,"proposed","proposed",NA,"proposed",NA,"proposed",NA,NA,NA,NA,NA,"0.0322005512153559",NA,"0.0144962872489032",NA,"proposed","0.0682282397525446","proposed",NA,"proposed",NA,"0.109110821014729","proposed"
"589-38-8","proposed",NA,NA,"0.290037254823912",NA,"proposed","proposed",NA,"proposed",NA,"proposed",NA,NA,NA,NA,NA,"proposed",NA,"proposed",NA,"0.0830481877971251","proposed","proposed",NA,"proposed",NA,NA,"proposed"
"928-94-9","0.0242668457110497","0.378394115402763",NA,"0.277269768512702",NA,"0.222407719471806","0.130466271140644",NA,"0.755375842107674",NA,"0.339936911320306","0.672899535986223",NA,NA,"0.146321452994489",NA,"0.0392279427952941",NA,"0.0818685005464915","0.264406768859115","proposed","0.192017119515947","0.073987009915359","0.528244195053951","0.172195316407267",NA,"0.322614500225139","0.353917572227014"
"623-37-0","proposed",NA,NA,"proposed",NA,"proposed","proposed",NA,"proposed",NA,"proposed",NA,NA,NA,NA,NA,"proposed",NA,"proposed",NA,"proposed","proposed","proposed",NA,"proposed",NA,NA,"proposed"
"928-96-1","0.0299501775972299","0.375214973873795",NA,"0.17630321461906",NA,"0.177295872118336","0.110385002020078",NA,"0.836467126722775",NA,"0.40616626997114","0.342968041697511",NA,NA,"0.224532370625984",NA,"0.0854132665438903",NA,"0.123802013012319","0.29044939844871","0.993611942252757","0.231660261177059","0.291929131871176","0.852553557396845","0.202691200760463",NA,"0.469825386069984","0.52739308723574"
"95-48-7","0.0235191346534682","0.0834334712583434","0.0248784137673026","0.0113438536425688",NA,"0.00219265403869773","0.00387447253543468","0.727366756609216","0.0495539081208521","0","0.34290730753734","0.157014494310254","0.955038693238095",NA,"0.00507535174815034","0.0190600670658612","0.659413296296287","0.488293015348046","0.00301331050762177","0.15375331177733","0.100423049302442","0.0309670822393371","0.0183136093741638","0.110449069425421","0.116740557612818","0.204992798578265","0","0.196547852367229"
"695-06-7","0.0928618042634933","0.115879821192144",NA,"0.334975562737445",NA,"0.0563679641287106","0.0655206273777721",NA,"0.654430607945976",NA,"0.123740971757232","0.139098186584254","proposed",NA,"0.121773593861454",NA,"0.0110877573973447",NA,"0.0612758731297281","0.129878111882768","proposed","0.0830687485217268","0.0366272187483277","0.20972232729291","0.215855786211237",NA,"0.104998408106672","0.436095996728446"
"591-78-6","proposed",NA,NA,"0.289903501951846",NA,"proposed","proposed",NA,"0.449148995072692",NA,"proposed",NA,"proposed",NA,NA,NA,"proposed",NA,"proposed",NA,"0.690239747338271","proposed","proposed",NA,"proposed",NA,NA,"proposed"
