"","preferd volume","jak-nife SE of volume","flexibility","jak-nife SE of flexibility","p-value"
"1024",122.04,8.2,109.62,88.07,0.05
"1025",122.63,38.16,231.22,118.9,0.46
"1026",1087.69,28649.97,812.81,4815.26,0.65
"1027",111.71,19.91,202.34,129.39,0.44
"1028",115.46,14.88,142.18,86.73,0.22
"1029",118.69,503.85,163.06,498.08,0.36
"1030",117.73,405.32,192.76,688.97,0.37
"1031",108.67,555.47,169.46,566.24,0.27
"1032",640.64,27343.61,490.63,3180.12,0.69
"1033",100.75,223.98,223.1,95.83,0.56
"1034",115.89,104.73,262.92,165.1,0.65
"1035",116.21,15.2,203.14,126.73,0.5
"1036",848.42,26444.83,507.73,3328.47,0.7
"1037",96.76,952,251.07,431.15,0.52
"1038",113.01,18.24,203.66,128.84,0.47
"1039",105.98,277.24,192.52,163.47,0.43
"1040",128.03,11.63,109.07,61.15,0.03
"1041",125.57,12.46,118.8,72.84,0.08
"1042",110.2,52.42,253.22,165.36,0.54
"1043",121.24,13.84,164.31,118.34,0.29
"1044",113.07,24.04,165.2,117.93,0.34
"1045",122.78,7.46,86.08,34.75,0
"1046",136.68,32.29,127.78,96.87,0.14
"1047",120.68,329.6,114.89,606.32,0.09
"1048",186.94,84.65,276.45,196.68,0.46
"1049",98.53,121.69,167.51,98.4,0.27
"1050",108.11,88.31,257.62,342.99,0.5
"1051",76.73,117282.6,217.37,9354.08,0.38
"1052",123.25,15.91,147,87.14,0.21
"1053",123,10.04,127.45,100.81,0.12
"1054",103.04,56.84,188.66,89.03,0.29
"1055",133.19,238.98,176.51,1832.86,0.32
"1056",223.74,924.59,427.46,1224.72,0.54
"1057",113.39,19.52,169.05,112.84,0.3
"1058",126.34,22.94,150.21,81.76,0.18
"1059",124.1,43.97,151.72,183.68,0.23
"1060",117.55,140.94,154.66,284.03,0.25
"1061",122.29,23.55,135.92,80.73,0.12
"1062",123.36,37.06,121.38,178.62,0.1
"1063",138.59,339.94,128.26,546.28,0.17
"1064",130.4,26.47,129.6,115.26,0.18
"1065",127.23,10.07,104.1,55.16,0.04
"1066",122.87,12.09,142.79,93.39,0.12
"1067",147.4,30.45,118.43,55.17,0.14
"1068",123.28,10.35,100.97,40.67,0.02
"1069",127.06,20.66,140.6,245.62,0.18
"1070",125.89,761.83,191.33,777.44,0.35
"1071",129.98,13.4,126.2,70.26,0.11
"1072",251.28,5576.9,549.84,4838.9,0.57
"1073",147.82,11.01,89.7,23.16,0.02
"1074",131.78,23.61,149.8,170.13,0.16
"1075",123.81,11.23,138.44,86.13,0.15
"1076",124.12,144.64,170.11,498.82,0.24
"1077",124.42,9.45,98.43,56.13,0.02
"1078",112.63,48.43,170.17,70.3,0.24
"1079",132.01,51.51,120.14,199.02,0.09
"1080",128.41,21.24,130.2,307.99,0.14
"1081",115.44,21.6,156.45,49.84,0.38
"1082",132.1,37.01,200.48,69.09,0.5
"1083",122.8,27.69,171.47,63.33,0.41
"1085",115,10.6,138.59,51.37,0.16
"1086",132.31,17.79,127.17,79.91,0.08
"1087",130.23,15.01,103.14,57.59,0.04
"1088",125.62,37.46,201.51,116.32,0.34
"1089",124.54,10.49,100.6,66.51,0.02
"1090",144.43,25.48,159.91,68.39,0.3
"1091",126.53,10.52,96.32,61.27,0
"1094",131.73,15.56,111.3,68.01,0.04
"1095",102.5,64.36,226,113.81,0.41
"1096",136.3,149.22,118.12,311.99,0.1
"1097",130.5,33.59,151.82,168.13,0.25
"1098",132.49,18.99,140.83,98.61,0.17
"1100",134.94,37.85,188.67,258.61,0.34
"1101",162.51,448.54,206.42,243.89,0.43
"1102",127.81,16.29,149.81,112.32,0.16
"1103",128.57,18.59,131.99,117.79,0.12
"1104",129.98,13.05,88.74,46.83,0
"1105",123.41,23.1,145.1,61.61,0.18
"1107",121.52,8.74,105.48,41.93,0.03
"1108",119.81,35.17,171.58,69.6,0.32
"1109",119.94,54.27,146.52,187.67,0.18
"1111",136.09,138.73,382.27,698.25,0.53
"1112",130.48,9.98,98.09,39.94,0.02
"1113",126.52,27.02,170.06,117.2,0.27
"1114",121.92,12.8,101.79,66.65,0.01
"1115",147.61,32.15,124.62,64.78,0.21
