"","preferd volume","jak-nife SE of volume","flexibility","jak-nife SE of flexibility"
"Or10a",122.12,19.73,67.39,22.58
"Or13a",182.68,47.17,111.35,40.29
"Or19a",131.51,23.22,79.87,20.87
"Or1a",120.7,10.83,39.59,9.68
"Or22a",207.61,43.34,81.24,20.08
"Or22b",112.6,14.3,27.44,12.65
"Or22c",96.91,9.98,37.29,24.13
"Or23a",141.99,9.89,44.46,7.73
"Or24a",102.31,3.79,23.74,10.15
"Or2a",165.39,33.91,73.82,18.41
"Or30a",106.04,1.95,19.32,7.33
"Or33a",95.81,7.64,47.29,18.37
"Or33b",142.04,21.77,78.9,22.75
"Or33c",141.16,1510.6,130.09,777.78
"Or35a",157.47,37.51,83.37,27.75
"Or42a",133.29,22.87,57.68,16.04
"Or42b",-44.04,94887.48,316.7,3570.39
"Or43a",129.08,7.07,50.4,7.28
"Or43b",186.62,40.76,65.27,17.44
"Or45a",39.01,342.91,206.12,262.72
"Or45b",106.6,1.96,18.08,5.07
"Or46a",110.85,7.1,21.37,25.16
"Or47a",205.75,59.41,70.81,26.21
"Or47b",-70.46,434.77,194.26,224.84
"Or49a",128.06,9.87,37.67,9.24
"Or49b",117.52,5.98,39.3,10.01
"Or59a",109.61,4.04,26.08,7.52
"Or59b",171.32,36.8,80.65,19.95
"Or59c",76.01,120.5,141.09,123.49
"Or65a",72.05,28.39,318.39,201.38
"Or67a",132.87,13.11,51.08,10.83
"Or67b",135.07,14.21,69.4,14.51
"Or67c",208.99,88.59,107.8,43.12
"Or71a",113.51,9.67,19.33,18.25
"Or74a",113.68,37.93,220.61,201.87
"Or7a",117.98,7.92,68.92,10.38
"Or82a",146.25,22.39,87.6,19.06
"Or85a",181.07,45.45,69.4,22.67
"Or85b",180.14,70.21,89.19,36.99
"Or85c",134.64,13.48,40.86,11.49
"Or85d",74.19,291.87,129.23,126.98
"Or85e",134.32,58.19,59.57,92.27
"Or85f",138.43,30.77,82.79,25.84
"Or88a",93.99,24.95,342.31,401.27
"Or92a",123.55,23.33,73.23,22.95
"Or94a",81.33,87.04,52.4,70.01
"Or94b",115.08,6.59,33.55,10
"Or98a",165.6,27.49,74.35,16.69
"Or9a",160.89,42.52,79.85,25.85
