"cas-number","formula","name","volume"
"7732-18-5","H2O","water",19.8
"7664-41-7","H3N","ammonia",21.8
"124-38-9","CO2","carbon dioxide",33.5
"67-56-1","CH4O","methanol",36.3
"64-18-6","CH2O2","methanoic acid",39.2
"75-07-0","CH3CHO","acetaldehyde",47.2
"79-09-4","C3H6O2","propanoic acid",48.4
"64-17-5","C2H6O","ethanol",53.1
"64-19-7","C2H4O2","acetic acid",55.5
"124-40-3","C2H7N","dimethylamine",57.1
"554-12-1","C4H8O2","methyl propionate",58.6
"107-02-8","C3H4O","2-propenal",59.9
"556-82-1","C5H10O","3-methyl-2-buten-1-ol",60.1
"625-33-2","C5H8O","3-penten-2-one",60.7
"75-18-3","C2H6S","dimethyl sulfide",63.4
"123-38-6","C3H6O","propanal",64.2
"67-64-1","C3H6O","acetone",64.7
"141-43-5","C2H7NO","ethanolamine",65
"589-38-8","C6H12O","3-hexanone",69.3
"928-94-9","C6H12O","Z2-hexenol",69.3
"623-37-0","C6H14O","3-hexanol",69.3
"928-96-1","C6H12O","Z3-hexenol",69.5
"95-48-7","C7H8O","2-methylphenol",69.7
"695-06-7","C6H10O2","gamma-hexalactone",70
"591-78-6","C6H12O","2-hexanone",70.1
"928-97-2","C6H12O","E3-hexenol",70.1
"626-93-7","C6H14O","2-hexanol",70.3
"66-25-1","C6H12O","hexanal",70.5
"6728-26-3","C6H10O","E2-hexenal",70.5
"589-91-3","C7H14O","4-methylcyclohexanol",70.7
"71-23-8","C3H8O","1-propanol",71.2
"67-63-0","C3H8O","isopropyl alcohol",71.8
"97-64-3","C5H10O3","ethyl lactate",73
"79-20-9","C3H6O2","methyl acetate",73.7
"109-94-4","C3H6O2","ethyl methanoate",73.7
"1775-43-5","","Z11-octadecenyl acetate",73.9
"65-85-0","C7H6O2","benzoic acid",74.5
"127-17-3","C3H4O3","pyruvic acid",75.2
"6622-76-0","C6H10O2","methyl tiglate",75.4
"623-70-1","C6H10O2","ethyl trans-2-butenoate",76.3
"624-24-8","C6H12O2","methyl pentanoate",76.8
"98-86-2","C8H8O","acetophenone",77.4
"90-00-6","C8H10O","2-ethylphenol",77.6
"543-49-7","C7H16O","2-heptanol",78.4
"60-12-8","C8H10O","phenethyl alcohol",79.1
"96-48-0","C4H6O2","gamma-butyrolactone",79.6
"5405-41-4","C6H12O3","ethyl 3-hydroxybutyrate",80.1
"564-94-3","C10H14O","(1R)-(-)-myrtenal",80.5
"50-21-5","C3H6O3","lactic acid",80.9
"3068-88-0","C4H6O2","beta-butyrolactone",81.1
"107-03-9","C3H8S","propanethiol",81.4
"123-72-8","C4H8O","butanal",81.6
"78-93-3","C4H8O","2-butanone",81.6
"123-75-1","C4H9N","pyrrolidine",81.8
"626-38-0","C7H14O2","sec-amyl acetate",82.4
"470-82-6","C10H18O","1,8-cineole",83.7
"638-11-9","C7H14O2","isopropyl butyrate",83.8
"7452-79-1","C7H14O2","ethyl 2-methylbutanoate",83.9
"629-19-6","C6H14S2","dipropyldisulphide",84
"5837-78-5","C7H12O2","ethyl 2-methyl-2E-butenoate",84
"624-41-9","C7H14O2","2-methyl butyl acetate",84.5
"590-01-2","C7H14O2","butyl propanoate",84.6
"539-82-2","C7H14O2","ethyl pentanoate",84.7
"431-03-8","C4H6O2","2,3-butanedione",85
"98-01-1","C5H4O2","furfural",85.5
"628-63-7","C7H14O2","pentyl acetate",85.8
"589-63-9","C8H16O","4-octanone",86.5
"644-35-9","C9H12O","2-propylphenol",86.5
"589-62-8","C8H18O","4-octanol",86.5
"78-83-1","C4H10O","isobutyl alcohol",86.7
"71-36-3","C4H10O","1-butanol",87.4
"645-56-7","C9H12O","4-propylphenol",87.7
"56-81-5","C3H8O3","glycerol",88
"79-31-2","C4H8O2","isobutyric acid",89.2
"470-67-7","C10H18O","1,4-cineol",89.2
"513-86-0","C4H8O2","3-hydroxy-2-butanone",89.2
"141-78-6","C4H8O2","ethyl acetate",89.6
"107-92-6","C4H8O2","butyric acid",90.5
"93-89-0","C9H10O2","ethyl benzoate",91.9
"89-83-8","C10H14O","thymol",92.1
"108-29-2","C5H8O2","gamma-valerolactone",95
"513-85-9","C4H10O2","2,3-butanediol",95.3
"89-82-7","C10H16O","(R)-(+)-pulegon",95.7
"6485-40-1","C10H14O","(R)-(-)-carvone",96.8
"2305-25-1","C8H16O3","ethyl 3-hydroxyhexanoate",97.1
"107-87-9","C5H10O","2-pentanone",97.9
"110-62-3","C5H10O","pentanal",98.1
"616-25-1","C5H10O","1-penten-3-ol",98.2
"89-78-1","C10H20O","menthol",98.9
"78-70-6","C10H18O","linalool",99.3
