"","Or10a","Or19a","Or1a","Or22a","Or22b","Or22c","Or23a","Or24a","Or2a","Or30a","Or33a","Or33b","Or35a","Or42a","Or43a","Or43b","Or45b","Or46a","Or47a","Or49a","Or49b","Or59a","Or59b","Or67a","Or67b","Or71a","Or7a","Or82a","Or85a","Or85c","Or85f","Or92a","Or94b","Or98a","Or9a"
"7732-18-5",NA,NA,"0.0248784137673026",NA,NA,NA,NA,NA,NA,"0.043483638464927","0.0170594837261504",NA,NA,"0.094108649510774",NA,NA,"0.0276698491091993",NA,NA,"0.0110945879639992",NA,NA,NA,NA,"0.140758665354012",NA,NA,NA,NA,"0.101581183044165",NA,NA,"0.0403470975218544",NA,NA
"110-60-1","0.0244917133276248","0.0996566462252435",NA,"0.0368191648889726",NA,NA,"0.0153485782708841",NA,"0.0420954874117288",NA,NA,"0.0145511052838487","0.170277497073874",NA,"0.0311371900451101","0.0444886156078318",NA,NA,"0.00465244386720973",NA,"0.0186296417309775",NA,"0.0138981495288956","0.0111734138930136",NA,NA,"0.0377281891304215","0.0284936895533406","0.0199784829536333",NA,"0.0597623502007101","0.0232898877099737",NA,"0.101718889679098","0.163892698285075"
"462-94-2","0.0235191346534682","0.108927031920615",NA,"0.0161165448393927",NA,NA,"0.00438530807739547",NA,"0.0302531403829572",NA,NA,"0.0106866818600435","0.120046941055684",NA,"0.0467057850676652","0.0787157668154794",NA,NA,"0.00667518809537065",NA,"0.00994675569028052",NA,"0.0333541215890619","0.00372447129767121",NA,NA,"0","0.0122112448222689","0.0233082301125722",NA,"0.0801548183596756",NA,NA,"0.0953976981602696","0.147255033507146"
"7664-41-7","0.0629663378662708",NA,NA,"0.101871260791492",NA,NA,NA,NA,NA,NA,NA,NA,"0.197410251661449",NA,NA,NA,NA,NA,NA,NA,"0.0322005512153559",NA,"0.012297795024459",NA,NA,NA,"0.179288500250508","0.0630494509069042",NA,NA,NA,"0.0232898877099737",NA,"0.109110821014729",NA
"141-43-5","0.0356384659155895",NA,NA,"0.133375934351891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0322005512153559",NA,"0.0144962872489032",NA,NA,NA,"0.179288500250508","0.0630494509069042",NA,NA,NA,"0.0232898877099737",NA,"0.109110821014729",NA
"111-68-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.529315066441032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107-85-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.449148995072692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124-40-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.204806142020436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96-48-0","0.0285994922884523","0.104291839072929",NA,"0.0829051226062374",NA,NA,"0.0285045025030706",NA,"0.0495679971319571",NA,NA,"0.0559008273365293","0.404438305195492",NA,"0.0422576150612209","0.101567784469285",NA,NA,"0.0374831508049489",NA,"0.0110877573973447",NA,"0.0561656774769633","0.312525112692185",NA,NA,"0.228760664569524","0.00495695718673891","0.0283028508509805",NA,"0.0972284763638165",NA,NA,"0.120999591350678","0.250225954348936"
"695-06-7","0.0928618042634933","0.115879821192144",NA,"0.334975562737445",NA,NA,"0.0563679641287106",NA,"0.0655206273777721",NA,NA,"0.119016448655151","0.654430607945976",NA,"0.123740971757232","0.139098186584254",NA,NA,"0.121773593861454",NA,"0.0110877573973447",NA,"0.0612758731297281","0.129878111882768",NA,NA,"0.00291285258385085","0.0258912888114538","0.0366272187483277",NA,"0.215855786211237",NA,NA,"0.104998408106672","0.436095996728446"
