"","experienced","confident","studied","proposed","max of response"
"Or10a",138,109,71,38,0.834659508167617
"Or19a",111,132,62,70,0.642267455124856
"Or1a",28,59,13,46,0.127946127946128
"Or22a",177,34,9,25,0.85462574552524
"Or22b",10,45,2,43,0.0833333333333333
"Or22c",27,67,11,56,0.71043771043771
"Or23a",112,72,41,31,0.262744369294779
"Or24a",27,47,10,37,0.831649831649832
"Or2a",120,90,36,54,0.229570865586455
"Or30a",28,43,8,35,0.727366756609216
"Or33a",28,93,13,80,0.063973063973064
"Or33b",119,125,61,64,0.239802692250719
"Or35a",135,108,49,59,0.83861619662582
"Or42a",33,87,18,69,0.92110095707218
"Or43a",112,83,49,34,0.527278347328834
"Or43b",111,61,12,49,0.710961277830579
"Or45b",28,40,8,32,0.955038693238095
"Or46a",10,29,2,27,0.698584298584299
"Or47a",120,31,1,30,0.831423697532133
"Or49a",28,49,10,39,0.153752252301642
"Or49b",132,66,39,27,0.659413296296287
"Or59a",27,48,10,38,0.488293015348046
"Or59b",129,89,37,52,0.66076669628633
"Or67a",111,83,43,40,0.720368728089866
"Or67b",117,119,54,65,0.993611942252757
"Or71a",17,23,2,21,0.946231946231946
"Or7a",134,119,72,47,0.81235572279376
"Or82a",136,132,67,65,0.739685870770574
"Or85a",111,71,25,46,0.654371232806141
"Or85c",28,50,11,39,0.880342187042624
"Or85f",111,136,58,78,0.280255611079628
"Or92a",124,122,59,63,0.849220467954636
"Or94b",29,59,10,49,0.458189340528737
"Or98a",129,90,38,52,0.778999685858244
"Or9a",111,101,41,60,0.799051102590333
